"country","code","year","prod_ktOil","use_ktOil","nuclearPerc","importPerc","renewPerc","fosilPerc"
"Cuba","CUB",2005,5815.523,10758.079,0.0543591472046264,45.9427375463593,19.93410719516,80.0115429529752
"Cuba","CUB",2006,5671.201,10846.601,0.0745302606779764,47.7144867779316,16.377407078955,83.5480718798451
"Cuba","CUB",2007,5569.156,10137.385,0.102649746458283,45.0631893728018,15.4488262998791,84.4485338181395
"Cuba","CUB",2008,5499.427,10565.901,0.118835109282209,47.9511780396201,13.6361205731532,86.2450443175646
"Cuba","CUB",2009,5345.994,12345.516,0.107974425694317,56.6968768255616,12.4132600046851,87.4787655696206
"Cuba","CUB",2010,5284.211,11308.001,0.0828970566946359,53.2701580058226,11.2613449538959,88.6557491461134
"Cuba","CUB",2011,5674.139,11186.615,0.0907155560462213,49.2774266388894,13.1906836876034,86.718609695605
"Dominica","DMA",1990,NA,21.171594,NA,NA,NA,0
"Dominica","DMA",2004,NA,39,NA,NA,NA,0
"Dominica","DMA",2005,NA,41,NA,NA,NA,0
"Dominica","DMA",2006,NA,42,NA,NA,NA,0
"Dominica","DMA",2007,NA,43,NA,NA,NA,0
"Ecuador","ECU",1971,1324.131,2236.927,1.6916063867976,40.8058018880366,49.2507801998009,49.0576134134015
"Ecuador","ECU",1972,5213.259,2318.196,1.65085264576421,-124.884306590124,47.3583338078402,50.9908135463956
"Ecuador","ECU",1973,11852.047,2351.769,1.59071745566848,-403.963059297065,44.5093034222324,53.8999791220992
"Ecuador","ECU",1974,10148.41,2849.337,1.50912299949076,-256.16741719214,36.4066096779707,62.0843024184223
"Ecuador","ECU",1975,9344.976,3141.959,1.71892758626067,-197.425141448377,32.6921516162369,65.5889207975025
"Ecuador","ECU",1976,10724.162,3494.862,1.48875692373547,-206.855091846259,28.8340998872058,69.6771431890587
"Ecuador","ECU",1977,10645.488,4189.109,1.14554192788968,-154.122965050563,23.7265967536295,75.1278613184809
"Ecuador","ECU",1978,11525.257,4314.665,1.57662298231728,-167.118235135289,22.3000626931639,76.1232911477484
"Ecuador","ECU",1979,11863.517,4555.179,1.33856430230294,-160.440193458918,21.2222176120851,77.4391961325779
"Ecuador","ECU",1980,11710.186,4996.263,1.50096181886342,-134.378894785963,19.6373569605923,78.8616812205442
"Ecuador","ECU",1981,11982.547,5197.087,1.28906827998069,-130.562755635994,18.263731201729,80.4472005182903
"Ecuador","ECU",1982,11849.991,5595.031,1.37568496045866,-111.79491230701,18.8755522534192,79.7487627861222
"Ecuador","ECU",1983,13545.495,5187.339,2.85321626367585,-161.126080250394,20.3208427288057,76.8259410075185
"Ecuador","ECU",1984,14787.215,5554.5,5.00563507066343,-166.220451885858,19.7505986137366,75.2437663156
"Ecuador","ECU",1985,15817.876,5615.417,5.0217819976682,-181.686578218501,18.8959074633282,76.0823105390036
"Ecuador","ECU",1986,16271.067,5591.761,6.17036386211785,-190.982876414067,18.0649351787389,75.7647009591433
"Ecuador","ECU",1987,10408.413,5725.955,6.8638331946374,-81.7760181489376,18.880186798534,74.2559800068286
"Ecuador","ECU",1988,16937.832,5996.592,6.92119790707789,-182.457635937212,18.5282740596659,74.5505447093949
"Ecuador","ECU",1989,15895.464,5733.325,7.43101080088779,-177.246868091378,18.7863761429886,73.7825956142378
"Ecuador","ECU",1990,16278.603,5840.931,7.34269930598393,-178.698772507328,14.1294769618063,78.5278237322098
"Ecuador","ECU",1991,17047.46,6084.041,7.17368604189222,-180.199623901285,14.1234090960268,78.7029377349692
"Ecuador","ECU",1992,18111.698,6193.664,6.90647732908986,-192.422998729024,13.3409884682153,79.7525503482268
"Ecuador","ECU",1993,19425.354,5761.834,8.6718916233963,-237.138383368907,14.4274722249895,76.9006361516142
"Ecuador","ECU",1994,21249.092,6110.915,9.23904194380056,-247.723573311034,12.8022235622652,77.9587344939342
"Ecuador","ECU",1995,21905.762,6810.414,6.53995483974983,-221.650959838859,11.4578496990051,82.0021954612451
"Ecuador","ECU",1996,21663.858,7351.346,7.44397012465472,-194.692400548145,10.8187398607003,81.737303617596
"Ecuador","ECU",1997,21776.15,7746.016,7.27655352119077,-181.127098110822,8.50842549253707,84.2150209862722
"Ecuador","ECU",1998,21241.446,8222.084,6.8271134179607,-158.346253820807,9.6512271098179,83.5216594722214
